Date,Index,DJIA
2011-07-18,123.899889,117.018205
2011-07-19,125.526959,118.92921
2011-07-20,127.116495,118.782667
2011-07-21,128.119553,120.223527
2011-07-22,129.152941,119.81489
2011-07-25,128.978926,118.980041
2011-07-26,129.557892,118.115526
2011-07-27,127.168705,116.237684
2011-07-28,126.961695,115.647735
2011-07-29,126.75881,114.732482
2011-08-01,126.451664,114.630913
2011-08-02,122.903252,112.118904
2011-08-03,124.644351,112.400652
2011-08-04,118.446212,107.555962
2011-08-05,118.404727,108.131644
2011-08-08,110.984296,102.134267
2011-08-09,117.631206,106.196263
2011-08-10,111.808401,101.284774
2011-08-11,116.086762,105.284884
2011-08-12,117.563456,106.472625
2011-08-15,119.566352,108.493418
2011-08-16,118.189569,107.766186
2011-08-17,118.425036,107.806624
2011-08-18,112.88692,103.841851
2011-08-19,110.502241,102.207964
2011-08-22,110.488709,102.557549
2011-08-23,115.48548,105.600928
2011-08-24,116.284447,106.961005
2011-08-25,114.797952,105.346392
2011-08-26,117.316762,106.619262
2011-08-29,120.053308,109.025828
2011-08-30,120.446489,109.221407
2011-08-31,120.733709,109.727644
2011-09-01,119.441228,108.594231
2011-09-02,116.879909,106.200893
2011-09-06,116.442159,105.246996
2011-09-07,118.825068,107.850559
2011-09-08,117.836301,106.725743
2011-09-09,114.738785,103.856496
2011-09-12,115.058856,104.508331
2011-09-13,116.629216,104.930952
2011-09-14,118.150398,106.262023
2011-09-15,120.345261,108.023651
2011-09-16,121.93504,108.740868
2011-09-19,122.101209,107.7197
2011-09-20,121.746398,107.79198
2011-09-21,119.162998,105.110375
2011-09-22,114.564069,101.416011
2011-09-23,115.509931,101.771738
2011-09-26,116.847543,104.345255
2011-09-27,117.188391,105.732542
2011-09-28,115.783751,104.03384
2011-09-29,115.36157,105.385697
2011-09-30,112.083208,103.112446
2011-10-03,109.266016,100.674039
2011-10-04,110.627331,102.123496
2011-10-05,112.963492,103.363486
2011-10-06,114.678443,105.096108
2011-10-07,113.426183,104.905158
2011-10-10,117.991411,108.023651
2011-10-11,119.39799,107.864164
2011-10-12,120.625475,108.833083
2011-10-13,121.214186,108.44835
2011-10-14,124.270003,110.020163
2011-10-17,122.324722,107.681813
2011-10-18,123.420857,109.382972
2011-10-19,118.613691,108.698635
2011-10-20,118.326954,109.049732
2011-10-21,119.866128,111.572512
2011-10-24,123.26567,112.562973
2011-10-25,119.802895,110.607183
2011-10-26,119.094894,112.141769
2011-10-27,123.357505,115.349548
2011-10-28,124.393392,115.562701
2011-10-31,121.597616,112.954036
2011-11-01,118.51333,110.147431
2011-11-02,119.149863,111.829977
2011-11-03,121.914608,113.799277
2011-11-04,120.897846,113.22076
2011-11-07,121.47068,114.02528
2011-11-08,123.030167,114.987018
2011-11-09,118.231718,111.309378
2011-11-10,117.722926,112.375614
2011-11-11,119.078261,114.831122
2011-11-14,117.558171,114.125337
2011-11-15,118.703533,114.287658
2011-11-16,116.562269,112.487103
2011-11-17,114.527344,111.212911
2011-11-18,113.840396,111.45318
2011-11-21,111.154711,109.101981
2011-11-22,111.889115,108.595649
2011-11-23,109.044902,106.364253
2011-11-25,107.924217,106.120771
2011-11-28,112.24995,108.872388
2011-11-29,111.349335,109.18059
2011-11-30,115.865066,113.81071
2011-12-01,116.465459,113.568362
2011-12-02,116.681527,113.562598
2011-12-05,117.529718,114.303437
2011-12-06,117.008056,114.79758
2011-12-07,117.520464,115.234468
2011-12-08,115.536089,113.357382
2011-12-09,116.902092,115.12005
2011-12-12,114.994455,113.581212
2011-12-13,113.105897,112.953375
2011-12-14,111.155966,111.711307
2011-12-15,111.194608,112.139596
2011-12-16,111.631355,112.116731
2011-12-19,110.961532,111.170677
2011-12-20,114.596383,114.357764
2011-12-21,114.343578,114.397069
2011-12-22,115.453453,114.982011
2011-12-23,116.16616,116.156902
2011-12-27,116.304952,116.131864
2011-12-28,114.746489,114.809674
2011-12-29,115.715914,116.091142
2011-12-30,115.683064,115.434677
2012-01-03,118.383452,117.133663
2012-01-04,117.934403,117.332454
